,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
375,2021,Bahia,28260.5211143018,1487.39584812115,19
376,2021,Grêmio,25152.4449497603,1323.81289209264,19
377,2021,Internacional,25152.4449497603,1323.81289209264,19
378,2021,Juventude,23864.0665721508,1256.00350379741,19
379,2021,Chapecoense,23037.4303177754,1212.49633251449,19
380,2021,Atlético-GO,21373.8534570093,1124.93965563207,19
381,2021,Athletico-PR,18567.6286844195,977.243614969445,19
382,2021,América-MG,17511.0007104688,921.631616340461,19
383,2021,Atlético-MG,17511.0007104688,921.631616340461,19
384,2021,Flamengo,17509.8581847023,921.571483405383,19
385,2021,Fluminense,17509.8581847023,921.571483405383,19
386,2021,Santos,16151.9038434901,850.100202288955,19
387,2021,Corinthians,15841.6215609988,833.769555842043,19
388,2021,Palmeiras,15841.6215609988,833.769555842043,19
389,2021,São Paulo,15841.6215609988,833.769555842043,19
390,2021,RB Bragantino,15830.6568331169,833.192464900891,19
395,2022,Ceara,42833.4304147126,2254.39107445856,19
396,2022,Fortaleza,42833.4304147126,2254.39107445856,19
397,2022,Cuiaba,27739.0259097434,1459.94873209176,19
398,2022,Internacional,23060.0739841304,1213.68810442792,19
399,2022,Juventude,21598.3526275983,1136.75540145254,19
400,2022,Atletico-GO,18734.5922231672,986.031169640379,19
401,2022,Goias,18734.5922231672,986.031169640379,19
402,2022,Avai,17586.806549924,925.621397364419,19
403,2022,Athletico-PR,15291.5576345777,804.81882287251,19
404,2022,Coritiba,15291.5576345777,804.81882287251,19
405,2022,America-MG,15171.7888884516,798.515204655347,19
406,2022,Atletico-MG,15171.7888884516,798.515204655347,19
407,2022,Botafogo-RJ,14606.8477197367,768.781458933508,19
408,2022,Flamengo,14606.8477197367,768.781458933508,19
409,2022,Fluminense,14606.8477197367,768.781458933508,19
410,2022,Santos,12982.4186078818,683.285189888516,19
411,2022,Bragantino,12719.4060299199,669.442422627361,19
412,2022,Corinthians,12680.7652701621,667.408698429585,19
413,2022,Palmeiras,12680.7652701621,667.408698429585,19
414,2022,Sao Paulo,12680.7652701621,667.408698429585,19
415,2023,Fortaleza,43318.6276669042,2279.92777194233,19
416,2023,Cuiaba,28081.1777566914,1477.95672403639,19
417,2023,Bahia,27348.2607433778,1439.38214438831,19
418,2023,Gremio,22646.8745330936,1191.94076489966,19
419,2023,Internacional,22646.8745330936,1191.94076489966,19
420,2023,Goias,18588.5795153402,978.346290281064,19
421,2023,Athletico-PR,14770.1740857825,777.377583462236,19
422,2023,Coritiba,14770.1740857825,777.377583462236,19
423,2023,America-MG,13021.0480545857,685.318318662403,19
424,2023,Atletico-MG,13021.0480545857,685.318318662403,19
425,2023,Cruzeiro,13021.0480545857,685.318318662403,19
426,2023,Botafogo-RJ,12339.5156803472,649.448193702483,19
427,2023,Flamengo,12339.5156803472,649.448193702483,19
428,2023,Fluminense,12339.5156803472,649.448193702483,19
429,2023,Vasco,12339.5156803472,649.448193702483,19
430,2023,Santos,11660.4873157281,613.709858722532,19
431,2023,Corinthians,11395.1415509005,599.744292152656,19
432,2023,Palmeiras,11395.1415509005,599.744292152656,19
433,2023,Sao Paulo,11395.1415509005,599.744292152656,19
434,2023,Bragantino,11360.9252943139,597.943436542839,19
435,2024,Fortaleza,43509.8244250044,2289.99075921076,19
436,2024,Cuiaba,29142.2670546576,1533.80352919251,19
437,2024,Bahia,27426.4362872979,1443.49664669989,19
438,2024,Vitoria,27426.4362872979,1443.49664669989,19
439,2024,Gremio,22561.8940449633,1187.46810762965,19
440,2024,Internacional,22561.8940449633,1187.46810762965,19
441,2024,Juventude,21337.5004316023,1123.02633850538,19
442,2024,Atletico-GO,20048.4924143443,1055.18381128128,19
443,2024,Criciuma,19532.3507655442,1028.01846134443,19
